part,geo_curved_area_frac,geo_cyl_area_frac,geo_plane_area_frac,geo_other_area_frac,geo_min_curv_radius_rel,geo_log_curv_radius_mean,geo_log_curv_radius_std,geo_n_faces,geo_n_edges,geo_face_area_cv,geo_aspect_max,geo_aspect_mid,geo_volume_frac,geo_area_over_v23,geo_min_face_size_rel,geo_n_inner_loops,geo_hole_spacing_min_rel,geo_hole_spacing_p10_rel,geo_feat_pair_dist_min_rel,geo_feat_pair_dist_p10_rel,geo_feat_pair_dist_mean_rel,geo_dihedral_p10,geo_dihedral_p50,geo_dihedral_p90,geo_singular_lambda_min
bossed_plate_s0,0.036173177989069126,0.036173177989069126,0.9638268220109308,0.0,0.060312208964345734,-1.219594764988545,0.0,8.0,30.0,1.3253257485611842,7.1056440640558005,3.1994165794907614,0.35931702199687215,13.416717143262114,0.10690060703547277,0.0,1.0,1.0,0.37773226748648314,0.37773226748648314,0.37773226748648314,1.5707963267948966,1.5707963267948966,1.5707963267948966,0.544483736782464
bossed_plate_s1,0.02251079298446685,0.02251079298446685,0.9774892070155332,0.0,0.04796973807013834,-1.3190326529121337,0.0,8.0,30.0,1.3678584553983233,10.462284353674578,3.6211718734710243,0.41556657837351724,14.18151369099254,0.0850241469693456,0.0,1.0,1.0,0.41659752925487276,0.41659752925487276,0.41659752925487276,1.5707963267948966,1.5707963267948966,1.5707963267948966,0.544483736782464
bossed_plate_s2,0.02637796826880715,0.02637796826880715,0.9736220317311928,0.0,0.043824501937500725,-1.3582830109335222,0.0,8.0,30.0,1.371458169657044,8.91080579003685,3.1413599796878438,0.349205811211055,14.398673308147693,0.07767690722313943,0.0,1.0,1.0,0.4344034557469733,0.4344034557469733,0.4344034557469733,1.5707963267948966,1.5707963267948966,1.5707963267948966,0.544483736782464
bossed_plate_s3,0.06481351761137254,0.06481351761137254,0.9351864823886273,0.0,0.05219607584821335,-1.2823621464523087,0.0,10.0,36.0,1.442094243870972,6.73402720815949,2.83131667692534,0.38738512121236357,12.671121671031196,0.09251513563932211,0.0,1.0,1.0,0.310714705735282,0.310714705735282,0.47890974553646165,1.5707963267948966,1.5707963267948966,1.5707963267948966,0.544483736782464
box_hole_s0,0.01341144284288367,0.01341144284288367,0.9865885571571162,0.0,0.04242386491680011,-1.3723897687383932,0.0,7.0,30.0,1.2563771987711285,19.64279385468783,9.567001411648901,0.9855322568107078,13.378273753910493,0.11039275164766153,1.0,1.0,1.0,0.04242386491680011,0.04242386491680011,0.04242386491680011,1.5707963267948966,1.5707963267948966,1.5707963267948966,1.0
box_hole_s1,0.012128179823537772,0.012128179823537772,0.9878718201764621,0.0,0.046626674258070114,-1.3313655603738974,0.0,7.0,30.0,1.3073987434470555,22.635234493325456,12.231422831971548,0.9836033456070452,14.803298000444391,0.10666621322205702,1.0,1.0,1.0,0.046626674258070114,0.046626674258070114,0.046626674258070114,1.5707963267948966,1.5707963267948966,1.5707963267948966,1.0
box_hole_s2,0.011956229812295466,0.011956229812295466,0.9880437701877045,0.0,0.03904618013278944,-1.408421446508716,0.0,7.0,30.0,1.2671417059173027,19.68335249632706,9.990839959418512,0.9880877729522308,13.514926229932888,0.10536939455372604,1.0,1.0,1.0,0.03904618013278944,0.03904618013278944,0.03904618013278944,1.5707963267948966,1.5707963267948966,1.5707963267948966,1.0
box_hole_s3,0.012582260340721007,0.012582260340721007,0.9874177396592789,0.0,0.03993829174925919,-1.398610514821757,0.0,7.0,30.0,1.2557414792342465,18.380226181546366,9.74586898370204,0.9878533132226075,13.179006891960944,0.10976313834980142,1.0,1.0,1.0,0.03993829174925919,0.03993829174925919,0.03993829174925919,1.5707963267948966,1.5707963267948966,1.5707963267948966,1.0
channel_s0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,10.0,48.0,0.660610595477097,5.814943360852367,1.4670173812719942,0.48383299570557126,15.130761554939712,0.1385691619725195,0.0,1.0,1.0,1.0,1.0,1.0,1.5707963267948966,1.5707963267948966,1.5707963267948966,0.544483736782464
channel_s1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,10.0,48.0,0.8075181229947751,8.058680008036317,2.1917354672639453,0.3929774380280735,18.10615524120983,0.11033853360139077,0.0,1.0,1.0,1.0,1.0,1.0,1.5707963267948966,1.5707963267948966,1.5707963267948966,0.544483736782464
